"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"16";"Château La Sauvageonne";"La Villa Rosé 2015";"Rose";"France
·
Languedoc";"4.5";"40 ratings";"https://images.vivino.com/thumbs/QNTe2Md7So6KJ9Wz59btzw_pb_x300.png"
"17";"Le Coste";"Rosato 2017";"Rose";"Italy
·
Lazio";"4.4";"39 ratings";"https://images.vivino.com/thumbs/Gvb6SDzfRBWCBmsYYQZqZA_pb_x300.png"
"18";"Château Sainte Marguerite";"Fantastique Rosé 2017";"Rose";"France
·
Côtes de Provence";"4.5";"35 ratings";"https://images.vivino.com/thumbs/WiDmw-hpT5-D3TfjjnOXDA_pb_x300.png"
"19";"Cakebread";"Vin De Porche Rosé 2017";"Rose";"United States
·
Anderson Valley";"4.5";"32 ratings";"https://images.vivino.com/thumbs/IZ_XBIxLSKuCRa1KhuRcGQ_pb_x300.png"
"20";"Fratelli Vogadori";"Molinara Rosato 2013";"Rose";"Italy
·
Valpolicella";"4.5";"30 ratings";"https://images.vivino.com/highlights/icon/most_user_rated.svg"
"21";"Bartenura";"Malvasia di Casorzo 2017";"Rose";"Italy
·
Malvasia di Casorzo d'Asti";"4.5";"30 ratings";"https://images.vivino.com/thumbs/sJd7QpiATmqtzQq3xwcvpg_pb_x300.png"
"22";"Antica Terra";"Angelicall Rosé 2013";"Rose";"United States
·
Willamette Valley";"4.5";"29 ratings";"https://images.vivino.com/thumbs/LRmcfSasTD22xR6lRSKcIw_pb_x300.png"
"23";"Batič";"Rosé 2013";"Rose";"Slovenia
·
Vipava";"4.5";"29 ratings";"https://images.vivino.com/thumbs/JGtf1UccSRab3Tv4lihFNw_pb_x300.png"
"24";"Domaine Serisier";"Bordeaux Rosé 2012";"Rose";"France
·
Bordeaux";"4.5";"27 ratings";"https://images.vivino.com/highlights/icon/top_ranked.svg"
"25";"Monte da Ravasqueira";"Touriga Nacional 2010";"Rose";"Portugal
·
Alentejano";"4.5";"26 ratings";"https://images.vivino.com/thumbs/mE9if7kSTWOjfGBiV5T5CA_pb_x300.png"
"26";"Weingut A. Diehl";"Eins Zu Eins Merlot Rosé 2016";"Rose";"Germany
·
Pfalz";"4.5";"25 ratings";"https://images.vivino.com/thumbs/LzLL-fVGQGSPaw7RBeYpeg_pb_x300.png"
"27";"Château d'Esclans";"Garrus Rosé N.V.";"Rose";"France
·
Côtes de Provence";"4.4";"1844 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"28";"Minuty";"281 Rosé N.V.";"Rose";"France
·
Provence";"4.4";"692 ratings";"https://images.vivino.com/thumbs/CRBSmK3xRuqHdCg4TpBpVw_pb_x300.png"
"29";"Château d'Esclans";"Garrus Rosé 2014";"Rose";"France
·
Côtes de Provence";"4.4";"476 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"30";"Domaines Ott";"Château de Selle Rosé (Coeur de Grain) 2013";"Rose";"France
·
Côtes de Provence";"4.4";"241 ratings";"https://images.vivino.com/thumbs/znOSQj0RQ5-wnZBGajuK9w_pb_x300.png"
"31";"Ruth Lewandowski";"Feints 2017";"Rose";"United States
·
Mendocino County";"4.4";"195 ratings";"https://images.vivino.com/thumbs/UyNLuTh0TvS1OuQJA0xJKg_pb_x300.png"
"32";"Château d'Esclans";"Garrus Rosé 2016";"Rose";"France
·
Côtes de Provence";"4.4";"188 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"33";"Robert Sinskey";"Pinot Noir of Vin Gris 2017";"Rose";"United States
·
Los Carneros";"4.4";"160 ratings";"https://images.vivino.com/thumbs/Tdaodpr5SIqmaVqoeRgMQA_pb_x300.png"
"34";"Robert Sinskey";"Pinot Noir of Vin Gris 2016";"Rose";"United States
·
Los Carneros";"4.4";"152 ratings";"https://images.vivino.com/thumbs/Tdaodpr5SIqmaVqoeRgMQA_pb_x300.png"
"35";"Château d'Esclans";"Garrus Rosé 2013";"Rose";"France
·
Côtes de Provence";"4.4";"135 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"36";"Château d'Esclans";"Rosé 2015";"Rose";"France
·
Côtes de Provence";"4.4";"133 ratings";"https://images.vivino.com/thumbs/Id4QDWSbR0SEnLq-5Zj5KQ_pb_x300.png"
"37";"Goldeneye";"Vin Gris of Pinot Noir 2011";"Rose";"United States
·
Anderson Valley";"4.4";"124 ratings";"https://images.vivino.com/thumbs/Al-bmQXBSrqxEzw5kVGx6w_pb_x300.png"
"38";"Marani";"Pirosmani Medium Dry Rosé 2016";"Rose";"Georgia
·
Kakheti";"4.4";"104 ratings";"https://images.vivino.com/thumbs/zwtlu0ULTDiN43iBOuVE-w_pb_x300.png"
"39";"Notorious Pink";"Grenache Rosé 2013";"Rose";"France
·
Vin de France";"4.4";"78 ratings";"https://images.vivino.com/thumbs/0iPgtJgmQ-2CeV5FUKQMfA_pb_x300.png"
"40";"Château de Saint Martin";"Eternelle Favorite Rosé 2012";"Rose";"France
·
Côtes de Provence";"4.4";"72 ratings";"https://images.vivino.com/thumbs/ODBpWgzbSnuz-rO_guBoyg_pb_x300.png"
"41";"Domaine Sainte Lucie";"L'Hydropathe Elite Rosé 2016";"Rose";"France
·
Côtes de Provence";"4.4";"72 ratings";"https://images.vivino.com/thumbs/Kkn7RIMUSkmQIhkF6MApiA_pb_x300.png"
"42";"Château Barbeyrolles";"Pétale de Rosé 2018";"Rose";"France
·
Côtes de Provence";"4.4";"68 ratings";"https://images.vivino.com/thumbs/Sx-mc4NxQc6b0zR0HPodqw_pb_x300.png"
"43";"Encostas do Lima";"Rosé 2015";"Rose";"Portugal
·
Vinho Verde";"4.4";"56 ratings";"https://images.vivino.com/thumbs/boQ570-lQcKcDj5rsJBCQQ_pb_x300.png"
"44";"Domaine de l'Abbaye";"Clos Beylesse Côtes de Provence Rosé 2018";"Rose";"France
·
Côtes de Provence";"4.4";"49 ratings";"https://images.vivino.com/thumbs/xZn0pd4XTRy8AMP8njODpQ_pb_x300.png"
"45";"Luccío";"Pink Moscato N.V.";"Rose";"Italy
·
Piemonte";"4.4";"47 ratings";"https://images.vivino.com/thumbs/JCFib4pKSjWtP5R9-wuAtQ_pb_x300.png"
"46";"Seven Mountains Wine Cellars";"Tickled Pink N.V.";"Rose";"United States
·
Pennsylvania";"4.4";"44 ratings";"https://thumbs.vivino.com/avatars/00910za83dzxp0584dcabdb_50x50.jpg"
"47";"Château de Caraguilhes";"Cara de Caraguilhes Rosé 2017";"Rose";"France
·
Corbières";"4.4";"40 ratings";"https://images.vivino.com/thumbs/A6x3Ax2STWKTbmAkwn8RgQ_pb_x300.png"
"48";"Cillar de Silos";"Dominio del Pidio Rosado N.V.";"Rose";"Spain
·
Ribera del Duero";"4.4";"37 ratings";"https://thumbs.vivino.com/avatars/NnHf7y_aQdKIbhFd5-ovAA_50x50.jpg"
"49";"Maison CR";"Coeur de Rosé Prestige 2015";"Rose";"France
·
Côtes de Provence";"4.4";"37 ratings";"https://images.vivino.com/thumbs/SL3tl_SdTv-qMOl54fyvBw_pb_x300.png"
"50";"Unti";"Rosé 2014";"Rose";"United States
·
Dry Creek Valley";"4.4";"37 ratings";"https://images.vivino.com/thumbs/u5iQqLRISUmZ5eQcT-DUKQ_pb_x300.png"
"51";"José Maria da Fonseca";"Domingos Soares Franco Colecção Privada Moscatel Roxo Rosé 2001";"Rose";"Portugal
·
Península de Setúbal";"4.4";"36 ratings";"https://thumbs.vivino.com/avatars/1962205_131690_big_app_50x50.jpg"
"52";"François Cotat";"Chavignol Sancerre Rosé 2015";"Rose";"France
·
Sancerre";"4.4";"34 ratings";"https://images.vivino.com/thumbs/Brth9y9JRgeSCsnhCj2bXw_pb_x300.png"
"53";"Fattoria Aldobrandesca";"Aleatico Toscana Rosato 2014";"Rose";"Italy
·
Toscana";"4.4";"31 ratings";"https://images.vivino.com/thumbs/mu0MhRNbSma0xmVFTkt3vA_pb_x300.png"
"54";"90+ Cellars";"ACK Provence Rosé N.V.";"Rose";"France
·
Provence";"4.4";"30 ratings";"https://images.vivino.com/thumbs/V621_MNYRI-t8IbXgCMEVA_pb_x300.png"
"55";"Bartenura";"Malvasia Castelnuovo Don Bosco Rosé 2008";"Rose";"Italy
·
Malvasia di Castelnuovo don Bosco";"4.4";"30 ratings";"https://images.vivino.com/thumbs/bx6znn-kQJ-hQ7GQWXlDuw_pb_x300.png"
"56";"Michel Laurent";"Rosé d'Anjou 2017";"Rose";"France
·
Rosé d'Anjou";"4.4";"29 ratings";"https://images.vivino.com/thumbs/budNlf3DSxy8JQxcnlCQrA_pb_x300.png"
"57";"Kivelstadt Cellars";"Twice Removed Rosé 2015";"Rose";"United States
·
Lake County";"4.4";"28 ratings";"https://images.vivino.com/thumbs/wOeIaBF4THWtY9lO81R0Ng_pb_x300.png"
"58";"Born Rosé Barcelona";"Born Rosé N.V.";"Rose";"Spain
·
Catalunya";"4.4";"27 ratings";"https://images.vivino.com/thumbs/1bSlC0oQQvSm_i28QyB1Tg_pb_x300.png"
"59";"Alain Girard & Fils";"Sancerre Rosé N.V.";"Rose";"France
·
Sancerre";"4.4";"26 ratings";"https://images.vivino.com/thumbs/f2pQOazjTRO6Ig2Su32L0g_pb_x300.png"
"60";"Tbilvino";"Iveriuli Alazani Valley Rosé (Алазанская долина розовое) 2016";"Rose";"Georgia
·
Kakheti";"4.4";"26 ratings";"https://images.vivino.com/avatars/default_user_50x50.png"
"61";"Parparoussis";"Petite Fleur Dry Rosé 2017";"Rose";"Greece
·
Achaia";"4.4";"26 ratings";"https://images.vivino.com/thumbs/Y8kWhQjsSLS_YXsv8ckbew_pb_x300.png"
"62";"Domaine de l'Abbaye";"Clos Beylesse Côtes de Provence Rosé N.V.";"Rose";"France
·
Côtes de Provence";"4.3";"945 ratings";"https://images.vivino.com/thumbs/xZn0pd4XTRy8AMP8njODpQ_pb_x300.png"
"63";"Robert Sinskey";"Pinot Noir of Vin Gris N.V.";"Rose";"United States
·
Los Carneros";"4.3";"938 ratings";"https://images.vivino.com/thumbs/Tdaodpr5SIqmaVqoeRgMQA_pb_x300.png"
"64";"Minuty";"Rosé et Or 2017";"Rose";"France
·
Côtes de Provence";"4.3";"916 ratings";"https://images.vivino.com/thumbs/xkMPG20ZS5mehP-XH0iBXg_pb_x300.png"
"65";"Minuty";"Rosé et Or 2018";"Rose";"France
·
Côtes de Provence";"4.3";"681 ratings";"https://images.vivino.com/thumbs/xkMPG20ZS5mehP-XH0iBXg_pb_x300.png"
"66";"Domaines Ott";"Château de Selle Rosé (Coeur de Grain) 2016";"Rose";"France
·
Côtes de Provence";"4.3";"562 ratings";"https://images.vivino.com/thumbs/HTx2ObtVSqKNdcDX3rdbxA_pb_x300.png"
"67";"Domaines Ott";"Clos Mireille Rosé (Coeur de Grain) 2015";"Rose";"France
·
Côtes de Provence";"4.3";"472 ratings";"https://images.vivino.com/thumbs/vHGbmhbzSCm-UgQszBCs-w_pb_x300.png"
"68";"R. López de Heredia Viña Tondonia";"Gran Reserva Rosado N.V.";"Rose";"Spain
·
Rioja Alta";"4.3";"458 ratings";"https://images.vivino.com/thumbs/2WhWo25KTeyKq3pKSACY8g_pb_x300.png"
"69";"Domaines Ott";"Clos Mireille Rosé (Coeur de Grain) 2014";"Rose";"France
·
Côtes de Provence";"4.3";"432 ratings";"https://images.vivino.com/thumbs/vHGbmhbzSCm-UgQszBCs-w_pb_x300.png"
"70";"Domaine Sainte Lucie";"L'Hydropathe Elite Rosé N.V.";"Rose";"France
·
Côtes de Provence";"4.3";"420 ratings";"https://images.vivino.com/thumbs/Kkn7RIMUSkmQIhkF6MApiA_pb_x300.png"
"71";"Ruth Lewandowski";"Feints N.V.";"Rose";"United States
·
Mendocino County";"4.3";"416 ratings";"https://images.vivino.com/thumbs/UyNLuTh0TvS1OuQJA0xJKg_pb_x300.png"
"72";"Commanderie de la Bargemone";"Cuvée Marina Rosé 2018";"Rose";"France
·
Coteaux d'Aix-en-Provence";"4.3";"374 ratings";"https://images.vivino.com/thumbs/WAF5yEazROuzWMyspVSnVg_pb_x300.png"
"73";"Marcel Martin";"La Jaglerie Rosé d'Anjou 2018";"Rose";"France
·
Rosé d'Anjou";"4.3";"340 ratings";"https://images.vivino.com/thumbs/Wln49EWoRZ2Ck1Pv01AVHw_pb_x300.png"
"74";"San Salvatore";"Vetere Paestum Rosato 2018";"Rose";"Italy
·
Paestum";"4.3";"338 ratings";"https://images.vivino.com/thumbs/Is67T4-ySk6gbvW4Ty458g_pb_x300.png"
"75";"Domaines Ott";"Clos Mireille Rosé (Coeur de Grain) 2017";"Rose";"France
·
Côtes de Provence";"4.3";"334 ratings";"https://images.vivino.com/thumbs/2J5LDR2GTQKcG98pAApYqA_pb_x300.png"
"76";"Domaines Ott";"Château de Selle Rosé (Coeur de Grain) 2015";"Rose";"France
·
Côtes de Provence";"4.3";"331 ratings";"https://images.vivino.com/thumbs/znOSQj0RQ5-wnZBGajuK9w_pb_x300.png"
"77";"Castello di Amorosa";"La Fantasia 2012";"Rose";"United States
·
California";"4.3";"332 ratings";"https://images.vivino.com/highlights/icon/most_user_rated.svg"
"78";"San Salvatore";"Vetere Paestum Rosato 2017";"Rose";"Italy
·
Paestum";"4.3";"293 ratings";"https://images.vivino.com/thumbs/Is67T4-ySk6gbvW4Ty458g_pb_x300.png"
"79";"Domaines Ott";"Château de Selle Rosé (Coeur de Grain) 2018";"Rose";"France
·
Côtes de Provence";"4.3";"274 ratings";"https://images.vivino.com/thumbs/HTx2ObtVSqKNdcDX3rdbxA_pb_x300.png"
"80";"Château d'Esclans";"Garrus Rosé 2015";"Rose";"France
·
Côtes de Provence";"4.3";"232 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"81";"Château d'Esclans";"Rock Angel Rosé 2018";"Rose";"France
·
Côtes de Provence";"4.3";"226 ratings";"https://images.vivino.com/thumbs/zWXfkD9kQc2r_W5A7Vihkg_pb_x300.png"
"82";"Bartenura";"Malvasia di Casorzo N.V.";"Rose";"Italy
·
Malvasia di Casorzo d'Asti";"4.3";"194 ratings";"https://images.vivino.com/thumbs/sJd7QpiATmqtzQq3xwcvpg_pb_x300.png"
"83";"Domaine de l'Abbaye";"Clos Beylesse Côtes de Provence Rosé 2013";"Rose";"France
·
Côtes de Provence";"4.3";"189 ratings";"https://images.vivino.com/thumbs/xZn0pd4XTRy8AMP8njODpQ_pb_x300.png"
"84";"Château d'Esclans";"Garrus Rosé 2012";"Rose";"France
·
Côtes de Provence";"4.3";"189 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"85";"R. López de Heredia Viña Tondonia";"Gran Reserva Rosado 2008";"Rose";"Spain
·
Rioja Alta";"4.3";"182 ratings";"https://images.vivino.com/thumbs/2WhWo25KTeyKq3pKSACY8g_pb_x300.png"
"86";"Tenuta Il Poggione";"Rosato di Toscana Brancato 2016";"Rose";"Italy
·
Toscana";"4.3";"178 ratings";"https://images.vivino.com/thumbs/UlzJZw2ZSViSGaTrZd3Few_pb_x300.png"
"87";"Château La Sauvageonne";"La Villa Rosé N.V.";"Rose";"France
·
Languedoc";"4.3";"173 ratings";"https://images.vivino.com/thumbs/QNTe2Md7So6KJ9Wz59btzw_pb_x300.png"
"88";"Elio Perrone";"Bigarò Rosé 2015";"Rose";"Italy
·
Piemonte";"4.3";"169 ratings";"https://images.vivino.com/thumbs/kixsM17DQPm1fVhtXU7CVw_pb_x300.png"
"89";"Domaine de l'Abbaye";"Clos Beylesse Côtes de Provence Rosé 2015";"Rose";"France
·
Côtes de Provence";"4.3";"160 ratings";"https://images.vivino.com/thumbs/xZn0pd4XTRy8AMP8njODpQ_pb_x300.png"
"90";"Domaines Ott";"Château Romassan Rosé (Coeur de Grain) 2018";"Rose";"France
·
Bandol";"4.3";"155 ratings";"https://images.vivino.com/thumbs/tE2hMYcUTnuNw1l0_BFZlA_pb_x300.png"
"91";"Venâncio da Costa Lima";"Moscatel Roxo 2013";"Rose";"Portugal
·
Setúbal";"4.3";"146 ratings";"https://images.vivino.com/highlights/icon/most_user_rated.svg"
"92";"Domaine de l'Abbaye";"Clos Beylesse Côtes de Provence Rosé 2016";"Rose";"France
·
Côtes de Provence";"4.3";"144 ratings";"https://images.vivino.com/thumbs/xZn0pd4XTRy8AMP8njODpQ_pb_x300.png"
"93";"Minuty";"Rosé et Or 2011";"Rose";"France
·
Côtes de Provence";"4.3";"142 ratings";"https://images.vivino.com/thumbs/xkMPG20ZS5mehP-XH0iBXg_pb_x300.png"
"94";"Robert Sinskey";"Pinot Noir of Vin Gris 2013";"Rose";"United States
·
Los Carneros";"4.3";"141 ratings";"https://images.vivino.com/thumbs/Tdaodpr5SIqmaVqoeRgMQA_pb_x300.png"
"95";"Domaine la Colombette";"Grenache Rosé 2018";"Rose";"France
·
Hérault";"4.3";"138 ratings";"https://images.vivino.com/thumbs/lN3RJZA-SIq29mTDAkYX6A_pb_x300.png"
"96";"Domaine des Diables";"Rosé Bonbon Côtes de Provence 2017";"Rose";"France
·
Côtes de Provence";"4.3";"136 ratings";"https://images.vivino.com/thumbs/MGG4mGSwQ9aiLpGuXCFvjQ_pb_x300.png"
"97";"Domaines Ott";"Clos Mireille Rosé (Coeur de Grain) 2012";"Rose";"France
·
Côtes de Provence";"4.3";"136 ratings";"https://images.vivino.com/thumbs/vHGbmhbzSCm-UgQszBCs-w_pb_x300.png"
"98";"Domaine Sainte Lucie";"MiP Collection Côtes de Provence Rosé 2018";"Rose";"France
·
Côtes de Provence";"4.3";"129 ratings";"https://images.vivino.com/thumbs/vsfrVEIUR-mDQ56LcBvrhg_pb_x300.png"
"99";"Proprieta Sperino";"Rosa del Rosa Rosato 2016";"Rose";"Italy
·
Coste della Sesia";"4.3";"128 ratings";"https://images.vivino.com/thumbs/z-SK6OnBQpe1QDXp_tReUw_pb_x300.png"
"100";"Franz Haas";"Moscato Rosa Schweizer 2012";"Rose";"Italy
·
Südtirol - Alto Adige";"4.3";"127 ratings";"https://images.vivino.com/thumbs/vrIIWtC_Rcq-5EdiqvRTFQ_pb_x300.png"
"101";"Rezabal";"Rosé 2018";"Rose";"Spain
·
Getariako Txakolina";"4.3";"122 ratings";"https://images.vivino.com/thumbs/Jheym4PjRdKFrgRxtC9Bwg_pb_x300.png"
"102";"Fattoria Aldobrandesca";"Aleatico Toscana Rosato 2015";"Rose";"Italy
·
Toscana";"4.3";"121 ratings";"https://images.vivino.com/thumbs/mu0MhRNbSma0xmVFTkt3vA_pb_x300.png"
"103";"Minuty";"281 Rosé 2018";"Rose";"France
·
Provence";"4.3";"112 ratings";"https://images.vivino.com/thumbs/CRBSmK3xRuqHdCg4TpBpVw_pb_x300.png"
"104";"Encostas do Lima";"Rosé N.V.";"Rose";"Portugal
·
Vinho Verde";"4.3";"108 ratings";"https://images.vivino.com/thumbs/boQ570-lQcKcDj5rsJBCQQ_pb_x300.png"
"105";"Château Saint-Maur";"Clos de Capelune Côtes de Provence Rosé N.V.";"Rose";"France
·
Côtes de Provence";"4.3";"104 ratings";"https://images.vivino.com/thumbs/l7BLBu7ERi2tJIQqtli_NA_pb_x300.png"
"106";"Le Coste";"Rosato N.V.";"Rose";"Italy
·
Lazio";"4.3";"101 ratings";"https://images.vivino.com/thumbs/Gvb6SDzfRBWCBmsYYQZqZA_pb_x300.png"
"107";"Marani";"Pirosmani Medium Dry Rosé 2013";"Rose";"Georgia
·
Kakheti";"4.3";"98 ratings";"https://images.vivino.com/thumbs/zwtlu0ULTDiN43iBOuVE-w_pb_x300.png"
"108";"VieVité";"Extraordinaire Côtes de Provence Rosé N.V.";"Rose";"France
·
Côtes de Provence";"4.3";"90 ratings";"https://images.vivino.com/thumbs/NuKJFEunRACwvmQwzqu-1g_pb_x300.png"
"109";"Scribe";"Rosé of Pinot Noir 2018";"Rose";"United States
·
Sonoma Coast";"4.3";"85 ratings";"https://images.vivino.com/thumbs/JcMStljASvegQOhoXmtZKg_pb_x300.png"
"110";"Château Pigoudet";"Le Grand Pigoudet Rosé 2013";"Rose";"France
·
Coteaux d'Aix-en-Provence";"4.3";"84 ratings";"https://images.vivino.com/thumbs/fzKZr7VJTf-MW0NWL5vDCA_pb_x300.png"
"111";"Muse";"Night Cabernet Franc (Blue) 2017";"Rose";"Romania
·
Recas";"4.3";"83 ratings";"https://images.vivino.com/thumbs/D9T2FX7zR9CUNaDTchW9HQ_pb_x300.png"
"112";"Gassier";"Château Gassier 946 Sainte Victoire Sélection Parcellaire Rosé 2015";"Rose";"France
·
Côtes de Provence";"4.3";"82 ratings";"https://images.vivino.com/thumbs/UVQlLZR2Q6mnuDrWbQUfkQ_pb_x300.png"
"113";"Gut Oggau";"Winifred Rosé 2018";"Rose";"Austria
·
Weinland";"4.3";"82 ratings";"https://images.vivino.com/thumbs/-JU7UEW5S82dB_d8Pzvwag_pb_x300.png"
"114";"Empathy";"Rosé N.V.";"Rose";"United States
·
California";"4.3";"81 ratings";"https://images.vivino.com/thumbs/43AGnXJbTD6nlL_-hfk3dA_pb_x300.png"
"115";"Château Barbebelle";"Héritage Rosé N.V.";"Rose";"France
·
Coteaux d'Aix-en-Provence";"4.3";"81 ratings";"https://images.vivino.com/thumbs/aqjoZYX9QWOqxBKFHnNDjw_pb_x300.png"
"116";"Château de Montgueret";"Rosé d'Anjou 2018";"Rose";"France
·
Rosé d'Anjou";"4.3";"79 ratings";"https://images.vivino.com/thumbs/DrcuSt14R4aO5PBKjZHz0A_pb_x300.png"
"117";"R. López de Heredia Viña Tondonia";"Gran Reserva Rosado 2009";"Rose";"Spain
·
Rioja Alta";"4.3";"79 ratings";"https://images.vivino.com/thumbs/2WhWo25KTeyKq3pKSACY8g_pb_x300.png"
"118";"Château d'Esclans";"Les Clans Rosé 2011";"Rose";"France
·
Côtes de Provence";"4.3";"78 ratings";"https://images.vivino.com/thumbs/67wqpawVTKGh1Ibl--Zr1w_pb_x300.png"
"119";"Château de Saint Martin";"Eternelle Favorite Rosé 2018";"Rose";"France
·
Côtes de Provence";"4.3";"78 ratings";"https://images.vivino.com/thumbs/ODBpWgzbSnuz-rO_guBoyg_pb_x300.png"
"120";"Château d'Esclans";"Garrus Rosé 2009";"Rose";"France
·
Côtes de Provence";"4.3";"77 ratings";"https://images.vivino.com/thumbs/NGq7QIE3QwSE0cAKrvPuTA_pb_x300.png"
"121";"Le Paradou";"Côtes de Provence Rosé 2016";"Rose";"France
·
Côtes de Provence";"4.3";"76 ratings";"https://images.vivino.com/thumbs/VVqgzl1CT7KsPiXjNEnhtA_pb_x300.png"
"122";"Château La Sauvageonne";"La Villa Rosé 2016";"Rose";"France
·
Languedoc";"4.3";"75 ratings";"https://images.vivino.com/thumbs/QNTe2Md7So6KJ9Wz59btzw_pb_x300.png"
"123";"Château Barbeyrolles";"Pétale de Rosé 2017";"Rose";"France
·
Côtes de Provence";"4.3";"75 ratings";"https://images.vivino.com/thumbs/Sx-mc4NxQc6b0zR0HPodqw_pb_x300.png"
"124";"Domaine du Castel";"Rosé du Castel 2017";"Rose";"Israel
·
Jerusalem";"4.3";"72 ratings";"https://images.vivino.com/thumbs/KXb-lXq_T8WPcy3P0Ulwhw_pb_x300.png"
"125";"Château Barbebelle";"Cuvée Madeleine Rosé 2017";"Rose";"France
·
Coteaux d'Aix-en-Provence";"4.3";"73 ratings";"https://images.vivino.com/thumbs/o1YbbQ2NSAKnpHgSBJogGg_pb_x300.png"
"126";"Valentini";"Cerasuolo Montepulciano d'Abruzzo Rosé 2016";"Rose";"Italy
·
Cerasuolo d'Abruzzo";"4.3";"67 ratings";"https://images.vivino.com/thumbs/hQgeM_g0SGa3oziz1Lxd-g_pb_x300.png"
"127";"R. López de Heredia Viña Tondonia";"Gran Reserva Rosado 2000";"Rose";"Spain
·
Rioja Alta";"4.3";"66 ratings";"https://images.vivino.com/thumbs/2WhWo25KTeyKq3pKSACY8g_pb_x300.png"
"128";"Matthiasson";"Rosé 2013";"Rose";"United States
·
Napa Valley";"4.3";"64 ratings";"https://images.vivino.com/thumbs/jZT-TbjrRzaWoP1g9bcjUw_pb_x300.png"
"129";"Château la Calisse";"Patricia Ortelli Coteaux Varois en Provence Rosé 2017";"Rose";"France
·
Coteaux Varois en Provence";"4.3";"60 ratings";"https://images.vivino.com/thumbs/3DKKRBJRSdyIrhEkHQmzPg_pb_x300.png"
