"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"36";"Real Companhia Velha";"Vintage Port 1967";"Port";"Portugal
·
Vintage Port";"4.8";"27 ratings";"https://images.vivino.com/thumbs/ZRuqQhQ3QuK3aK5kZ1Pq_A_pb_x300.png"
"37";"Niepoort";"Late Bottled Vintage Port 1980";"Port";"Portugal
·
Late Bottled Vintage Port (LBV)";"4.8";"26 ratings";"https://images.vivino.com/thumbs/dKwIqIbTTaiHRhXi2PbPLg_pb_x300.png"
"38";"Blandy's";"Sercial Madeira 1968";"Port";"Portugal
·
Madeira";"4.8";"26 ratings";"https://images.vivino.com/thumbs/UHc6Jfa7TImZcuaoK0vSVg_pb_x300.png"
"39";"Krohn";"Colheita Porto 1967";"Port";"Portugal
·
Colheita Port";"4.8";"25 ratings";"https://images.vivino.com/thumbs/5Jex0HJzQi6aK_UZHXtQtA_pb_x300.png"
"40";"Niepoort";"Colheita Port 1968";"Port";"Portugal
·
Colheita Port";"4.8";"25 ratings";"https://images.vivino.com/thumbs/WveiVp21RPGjgHGudv2NuQ_pb_x300.png"
"41";"Taylor's";"Very Old Single Harvest Port N.V.";"Port";"Portugal
·
Tawny Port";"4.7";"1375 ratings";"https://images.vivino.com/thumbs/A8t87zz8T42Ad9KmdBvAnQ_pb_x300.png"
"42";"Toro Albalá";"Don PX Convento Selección N.V.";"Port";"Spain
·
Montilla-Moriles";"4.7";"658 ratings";"https://images.vivino.com/thumbs/ni3gQdaBR0eR1jwck1LaWA_pb_x300.png"
"43";"Taylor's";"Vintage Port 1977";"Port";"Portugal
·
Vintage Port";"4.7";"467 ratings";"https://images.vivino.com/thumbs/VQ7GE30GRK-SC0jUoIeT-Q_pb_x300.png"
"44";"Blandy's";"Terrantez Madeira N.V.";"Port";"Portugal
·
Madeira";"4.7";"306 ratings";"https://images.vivino.com/thumbs/bpo_8S6jRiSc0OpzRmjTTg_pb_x300.png"
"45";"Taylor's";"Vintage Port 1994";"Port";"Portugal
·
Vintage Port";"4.7";"289 ratings";"https://images.vivino.com/thumbs/VQ7GE30GRK-SC0jUoIeT-Q_pb_x300.png"
"46";"Kopke";"Colheita Port 1966";"Port";"Portugal
·
Colheita Port";"4.7";"279 ratings";"https://images.vivino.com/thumbs/YDhDDXL1QQijmWvOnO418A_pb_x300.png"
"47";"Burmester";"Colheita Porto 1937";"Port";"Portugal
·
Porto";"4.7";"260 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"48";"Taylor's";"Very Old Single Harvest Port 1967";"Port";"Portugal
·
Tawny Port";"4.7";"222 ratings";"https://images.vivino.com/thumbs/A8t87zz8T42Ad9KmdBvAnQ_pb_x300.png"
"49";"Dow's";"Vintage Port 2007";"Port";"Portugal
·
Vintage Port";"4.7";"219 ratings";"https://images.vivino.com/thumbs/cn3BnyzeRbmnluOLoj756w_pb_x300.png"
"50";"Taylor's";"Vintage Port 1970";"Port";"Portugal
·
Vintage Port";"4.7";"170 ratings";"https://images.vivino.com/thumbs/VQ7GE30GRK-SC0jUoIeT-Q_pb_x300.png"
"51";"Blandy's";"Terrantez Madeira 1976";"Port";"Portugal
·
Madeira";"4.7";"162 ratings";"https://images.vivino.com/thumbs/bpo_8S6jRiSc0OpzRmjTTg_pb_x300.png"
"52";"Taylor's";"Very Old Single Harvest Port 1965";"Port";"Portugal
·
Tawny Port";"4.7";"139 ratings";"https://images.vivino.com/thumbs/A8t87zz8T42Ad9KmdBvAnQ_pb_x300.png"
"53";"D'Oliveiras";"Reserva Verdelho Madeira N.V.";"Port";"Portugal
·
Madeira";"4.7";"126 ratings";"https://images.vivino.com/thumbs/lkfvn01JT3SU389JLqO0Zw_pb_x300.png"
"54";"Kopke";"Colheita Port 1965";"Port";"Portugal
·
Colheita Port";"4.7";"123 ratings";"https://images.vivino.com/thumbs/YDhDDXL1QQijmWvOnO418A_pb_x300.png"
"55";"Burmester";"Colheita Porto 1963";"Port";"Portugal
·
Porto";"4.7";"122 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"56";"Taylor's";"Very Old Single Harvest Port 1968";"Port";"Portugal
·
Tawny Port";"4.7";"121 ratings";"https://images.vivino.com/thumbs/A8t87zz8T42Ad9KmdBvAnQ_pb_x300.png"
"57";"Taylor's";"Vintage Port 1992";"Port";"Portugal
·
Vintage Port";"4.7";"112 ratings";"https://images.vivino.com/thumbs/VQ7GE30GRK-SC0jUoIeT-Q_pb_x300.png"
"58";"Warre's";"Vintage Port 1963";"Port";"Portugal
·
Vintage Port";"4.7";"110 ratings";"https://images.vivino.com/thumbs/cN21DLJiQDSFqtTn_tM8MQ_pb_x300.png"
"59";"Quinta do Noval";"Port Tawny Colheita 1968";"Port";"Portugal
·
Colheita Port";"4.7";"102 ratings";"https://images.vivino.com/thumbs/jyuwaX9rTniqvT8Yf6GQqQ_pb_x300.png"
"60";"Cockburn's";"Vintage Port 1963";"Port";"Portugal
·
Vintage Port";"4.7";"100 ratings";"https://images.vivino.com/thumbs/pWjNtJt0RRa_EAM2xecrHw_pb_x300.png"
"61";"Burmester";"Colheita Porto 1952";"Port";"Portugal
·
Porto";"4.7";"100 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"62";"Dow's";"Vintage Port 1963";"Port";"Portugal
·
Vintage Port";"4.7";"98 ratings";"https://images.vivino.com/thumbs/cn3BnyzeRbmnluOLoj756w_pb_x300.png"
"63";"Constantino";"Vintage Porto N.V.";"Port";"Portugal
·
Vintage Port";"4.7";"89 ratings";"https://thumbs.vivino.com/avatars/0cnb5S0HR1GqQS5FsPQdaQ_50x50.jpg"
"64";"Taylor's";"Vintage Port 1963";"Port";"Portugal
·
Vintage Port";"4.7";"86 ratings";"https://images.vivino.com/thumbs/VQ7GE30GRK-SC0jUoIeT-Q_pb_x300.png"
"65";"Fonseca";"Vintage Port 1977";"Port";"Portugal
·
Vintage Port";"4.7";"82 ratings";"https://images.vivino.com/thumbs/JEsF37XFTvKEc9o64YCCrA_pb_x300.png"
"66";"Toro Albalá";"Don PX Convento Selección 1955";"Port";"Spain
·
Montilla-Moriles";"4.7";"72 ratings";"https://images.vivino.com/thumbs/ni3gQdaBR0eR1jwck1LaWA_pb_x300.png"
"67";"Niepoort";"Vintage Port 2011";"Port";"Portugal
·
Vintage Port";"4.7";"72 ratings";"https://images.vivino.com/thumbs/gkOzyaDKSmSxGaJDFkuSOQ_pb_x300.png"
"68";"V. Sattui";"Madeira 2010";"Port";"United States
·
California";"4.7";"67 ratings";"https://images.vivino.com/thumbs/LKgiR6xxQ6OcFP09vAch-A_pb_x300.png"
"69";"Fonseca";"Vintage Port 1994";"Port";"Portugal
·
Vintage Port";"4.7";"65 ratings";"https://images.vivino.com/thumbs/JEsF37XFTvKEc9o64YCCrA_pb_x300.png"
"70";"Royal Oporto";"Colheita Porto 1976";"Port";"Portugal
·
Colheita Port";"4.7";"63 ratings";"https://images.vivino.com/thumbs/QnSyShsLRguoGnjtFIQO8A_pb_x300.png"
"71";"W. & J. Graham's";"Late Bottled Vintage Port 1987";"Port";"Portugal
·
Late Bottled Vintage Port (LBV)";"4.7";"59 ratings";"https://images.vivino.com/thumbs/MV9DYVehT1yRS1QagLBznQ_pb_x300.png"
"72";"Real Companhia Velha";"Família Real Porto 1944";"Port";"Portugal
·
Porto";"4.7";"58 ratings";"https://thumbs.vivino.com/avatars/So6OASLDQBa6bteUh3X94g_50x50.jpg"
"73";"W. & J. Graham's";"30 Year Old Tawny Port 1983";"Port";"Portugal
·
Aged Tawny Port";"4.7";"57 ratings";"https://images.vivino.com/thumbs/vXzsFi59SnWnNCngPdR7qg_pb_x300.png"
"74";"Quinta do Noval";"Vintage Port 1963";"Port";"Portugal
·
Vintage Port";"4.7";"54 ratings";"https://images.vivino.com/thumbs/c-3lGDydTm6clj54mwXiUQ_pb_x300.png"
"75";"Real Companhia Velha";"Vintage Port 1994";"Port";"Portugal
·
Vintage Port";"4.7";"54 ratings";"https://images.vivino.com/thumbs/ZRuqQhQ3QuK3aK5kZ1Pq_A_pb_x300.png"
"76";"Barros";"Colheita Porto 1975";"Port";"Portugal
·
Colheita Port";"4.7";"46 ratings";"https://images.vivino.com/thumbs/e3HOlT52QjW-XiG4WQy-4Q_pb_x300.png"
"77";"Quinta do Noval";"Vintage Port 1978";"Port";"Portugal
·
Vintage Port";"4.7";"44 ratings";"https://images.vivino.com/thumbs/c-3lGDydTm6clj54mwXiUQ_pb_x300.png"
"78";"W. & J. Graham's";"Vintage Port 1966";"Port";"Portugal
·
Vintage Port";"4.7";"43 ratings";"https://images.vivino.com/thumbs/Gpc2lxULRaSEuAkJjglpfg_pb_x300.png"
"79";"Burmester";"Colheita Porto 1950";"Port";"Portugal
·
Porto";"4.7";"43 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"80";"Blandy's";"Bual Madeira 1957";"Port";"Portugal
·
Madeira";"4.7";"38 ratings";"https://images.vivino.com/thumbs/wC_R2RnFS1OCl58Z4XgtPw_pb_x300.png"
"81";"Cockburn's";"Vintage Port 1967";"Port";"Portugal
·
Vintage Port";"4.7";"37 ratings";"https://images.vivino.com/thumbs/pWjNtJt0RRa_EAM2xecrHw_pb_x300.png"
"82";"Prager Winery and Port Works";"Noble Companion Tawny Port 2008";"Port";"United States
·
Napa Valley";"4.7";"36 ratings";"https://images.vivino.com/thumbs/1Ous8R6yQL-JcZ-Cwz3s-g_pb_x300.png"
"83";"Quinta do Noval";"Vintage Port Nacional 1970";"Port";"Portugal
·
Vintage Port";"4.7";"36 ratings";"https://images.vivino.com/thumbs/Dc4oCLqGQemNRNwH4Kjgsw_pb_x300.png"
"84";"Gonzalez-Byass";"Añada Palo Cortado 1987 1987";"Port";"Spain
·
Palo Cortado Sherry";"4.7";"35 ratings";"https://images.vivino.com/thumbs/hWp5yCqvRA-q12yhMwPpBw_pb_x300.png"
"85";"V. Sattui";"Madeira 2014";"Port";"United States
·
California";"4.7";"32 ratings";"https://images.vivino.com/thumbs/LKgiR6xxQ6OcFP09vAch-A_pb_x300.png"
"86";"Kopke";"Colheita Port 1961";"Port";"Portugal
·
Colheita Port";"4.7";"32 ratings";"https://images.vivino.com/thumbs/YDhDDXL1QQijmWvOnO418A_pb_x300.png"
"87";"Burmester";"Colheita Porto 1940";"Port";"Portugal
·
Porto";"4.7";"32 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"88";"Croft";"Late Bottled Vintage Port 1970";"Port";"Portugal
·
Late Bottled Vintage Port (LBV)";"4.7";"32 ratings";"https://images.vivino.com/thumbs/RPj7XZEcRSSJFdExIBiuBg_pb_x300.png"
"89";"Dow's";"Master Blend Late Bottled Vintage Port 1985";"Port";"Portugal
·
Late Bottled Vintage Port (LBV)";"4.7";"32 ratings";"https://images.vivino.com/thumbs/8IzDvUo1RzaPhhcF13-syg_pb_x300.png"
"90";"Borges";"Vintage Port 1960";"Port";"Portugal
·
Vintage Port";"4.7";"31 ratings";"https://images.vivino.com/thumbs/pa1p0r2oSVCNZjXWhV6gTg_pb_x300.png"
"91";"Toro Albalá";"Don PX Reserva Especial N.V.";"Port";"Spain
·
Montilla-Moriles";"4.7";"31 ratings";"https://images.vivino.com/thumbs/fFV_01haQaKBm127tp4njw_pb_x300.png"
"92";"Real Companhia Velha";"Desintervenção Port 1978";"Port";"Portugal
·
Porto";"4.7";"30 ratings";"https://images.vivino.com/thumbs/Hzmf0exsTX-h65kINapDmQ_pb_x300.png"
"93";"Taylor's";"Quinta de Vargellas Vintage Port 1968";"Port";"Portugal
·
Single Quinta Vintage Port (SQVP)";"4.7";"30 ratings";"https://images.vivino.com/thumbs/XrqTj3U8RnSG4QVQY1b6ww_pb_x300.png"
"94";"Fonseca";"Guimaraens Vintage Port 1976";"Port";"Portugal
·
Vintage Port";"4.7";"30 ratings";"https://images.vivino.com/thumbs/mcBmcODPTreYOrjvJbMMiw_pb_x300.png"
"95";"Messias";"Porto Colheita 1967";"Port";"Portugal
·
Porto";"4.7";"29 ratings";"https://images.vivino.com/thumbs/CZtaxwKgQImrT85PfNcRzg_pb_x300.png"
"96";"Real Companhia Velha";"Vintage Port 2002";"Port";"Portugal
·
Vintage Port";"4.7";"29 ratings";"https://images.vivino.com/thumbs/ZRuqQhQ3QuK3aK5kZ1Pq_A_pb_x300.png"
"97";"Ramos Pinto";"30 Year Old Tawny Porto 2008";"Port";"Portugal
·
Aged Tawny Port";"4.7";"28 ratings";"https://images.vivino.com/thumbs/muxwf7-iTzKYdAR8V4p6zA_pb_x300.png"
"98";"Niepoort";"Colheita Port 1934";"Port";"Portugal
·
Colheita Port";"4.7";"27 ratings";"https://images.vivino.com/thumbs/WveiVp21RPGjgHGudv2NuQ_pb_x300.png"
"99";"Osborne";"Pedro Ximenez Viejo Very Old Rare Sherry N.V.";"Port";"Spain
·
Jerez-Xérès-Sherry";"4.7";"27 ratings";"https://images.vivino.com/thumbs/JGCBmd1_QIunYWzqRBZShA_pb_x300.png"
"100";"Burmester";"Colheita Porto 1951";"Port";"Portugal
·
Porto";"4.7";"27 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"101";"Sandeman";"Vintage Port 1963";"Port";"Portugal
·
Vintage Port";"4.7";"27 ratings";"https://images.vivino.com/thumbs/Q2wT8OiETQCeGblJycDHDQ_pb_x300.png"
"102";"C. da Silva";"Dalva Colheita Porto 1968";"Port";"Portugal
·
Colheita Port";"4.7";"25 ratings";"https://images.vivino.com/thumbs/BUff0jSqSNGoWmyG8G8kYg_pb_x300.png"
"103";"W. & J. Graham's";"Single Harvest Tawny Port N.V.";"Port";"Portugal
·
Tawny Port";"4.6";"1632 ratings";"https://images.vivino.com/thumbs/WITTr314RROKgOANaJrVVQ_pb_x300.png"
"104";"W. & J. Graham's";"40 Year Old Tawny Port N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"1353 ratings";"https://images.vivino.com/thumbs/rkcKilc7QtCRtHEybi07BQ_pb_x300.png"
"105";"Taylor's";"40 Year Old Tawny Port N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"964 ratings";"https://images.vivino.com/thumbs/E1Ya1DznSt-NJlkXDfW_MQ_pb_x300.png"
"106";"Quinta do Noval";"40 Year Old Tawny Port N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"529 ratings";"https://images.vivino.com/thumbs/Q16-faV3ShW00_SPL31Llw_pb_x300.png"
"107";"Sandeman";"40 Years Old Tawny Porto N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"468 ratings";"https://images.vivino.com/thumbs/yFGicWEpQgyFtrBh4VMGyw_pb_x300.png"
"108";"Dow's";"Vintage Port 2011";"Port";"Portugal
·
Vintage Port";"4.6";"417 ratings";"https://images.vivino.com/thumbs/cn3BnyzeRbmnluOLoj756w_pb_x300.png"
"109";"Royal Oporto";"40 Year Old Tawny Porto N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"346 ratings";"https://images.vivino.com/thumbs/L4pqQfyaSFqcKtcEkXVRlg_pb_x300.png"
"110";"Burmester";"Tordiz 40 Year Old Tawny Port N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"263 ratings";"https://images.vivino.com/thumbs/r5d3WdJkTT65dX6mX3cA4w_pb_x300.png"
"111";"Burmester";"Colheita Porto 1955";"Port";"Portugal
·
Porto";"4.6";"240 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"112";"Burmester";"Colheita Porto 1957";"Port";"Portugal
·
Porto";"4.6";"223 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"113";"Quinta do Vesuvio";"Vintage Port 1994";"Port";"Portugal
·
Single Quinta Vintage Port (SQVP)";"4.6";"198 ratings";"https://images.vivino.com/thumbs/6nJ5LlAeS2y0dnjZRreZOA_pb_x300.png"
"114";"Krohn";"Colheita Porto 1976";"Port";"Portugal
·
Colheita Port";"4.6";"181 ratings";"https://images.vivino.com/thumbs/5Jex0HJzQi6aK_UZHXtQtA_pb_x300.png"
"115";"W. & J. Graham's";"Vintage Port 1970";"Port";"Portugal
·
Vintage Port";"4.6";"179 ratings";"https://images.vivino.com/thumbs/Gpc2lxULRaSEuAkJjglpfg_pb_x300.png"
"116";"Kopke";"Colheita Port 1974";"Port";"Portugal
·
Colheita Port";"4.6";"160 ratings";"https://images.vivino.com/thumbs/YDhDDXL1QQijmWvOnO418A_pb_x300.png"
"117";"Barros";"Colheita Porto 1974";"Port";"Portugal
·
Colheita Port";"4.6";"150 ratings";"https://images.vivino.com/thumbs/e3HOlT52QjW-XiG4WQy-4Q_pb_x300.png"
"118";"Fonseca";"40 Year Old Tawny Port N.V.";"Port";"Portugal
·
Aged Tawny Port";"4.6";"149 ratings";"https://images.vivino.com/thumbs/U5TNpr5dSSWYqlJC05iFTA_pb_x300.png"
"119";"Real Companhia Velha";"Vintage Port 1984";"Port";"Portugal
·
Vintage Port";"4.6";"143 ratings";"https://images.vivino.com/thumbs/ZRuqQhQ3QuK3aK5kZ1Pq_A_pb_x300.png"
"120";"Fonseca";"Guimaraens Vintage Port 1994";"Port";"Portugal
·
Vintage Port";"4.6";"140 ratings";"https://images.vivino.com/thumbs/mcBmcODPTreYOrjvJbMMiw_pb_x300.png"
"121";"W. & J. Graham's";"Late Bottled Vintage Port 1983";"Port";"Portugal
·
Late Bottled Vintage Port (LBV)";"4.6";"136 ratings";"https://images.vivino.com/thumbs/MV9DYVehT1yRS1QagLBznQ_pb_x300.png"
"122";"D'Oliveiras";"Reserva Boal Madeira N.V.";"Port";"Portugal
·
Madeira";"4.6";"140 ratings";"https://images.vivino.com/thumbs/hrtPI5E9QLq6IcXsrJ8PJw_pb_x300.png"
"123";"Fonseca";"Vintage Port 2011";"Port";"Portugal
·
Vintage Port";"4.6";"125 ratings";"https://images.vivino.com/thumbs/Ti4juu1PQKSxF0Ni9yMS5A_pb_x300.png"
"124";"Royal Oporto";"Colheita Porto 1977";"Port";"Portugal
·
Colheita Port";"4.6";"125 ratings";"https://images.vivino.com/thumbs/QnSyShsLRguoGnjtFIQO8A_pb_x300.png"
"125";"V. Sattui";"Vintage Port 1998";"Port";"United States
·
California";"4.6";"118 ratings";"https://images.vivino.com/thumbs/1MzcVwBFQguC28uekQ76_A_pb_x300.png"
"126";"Kopke";"Colheita Port 1967";"Port";"Portugal
·
Colheita Port";"4.6";"113 ratings";"https://images.vivino.com/thumbs/YDhDDXL1QQijmWvOnO418A_pb_x300.png"
"127";"Kopke";"Colheita Port 1957";"Port";"Portugal
·
Colheita Port";"4.6";"112 ratings";"https://images.vivino.com/thumbs/YDhDDXL1QQijmWvOnO418A_pb_x300.png"
"128";"Burmester";"Colheita Porto 1966";"Port";"Portugal
·
Porto";"4.6";"109 ratings";"https://images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pb_x300.png"
"129";"Royal Oporto";"Colheita Porto 1980";"Port";"Portugal
·
Colheita Port";"4.6";"107 ratings";"https://images.vivino.com/thumbs/QnSyShsLRguoGnjtFIQO8A_pb_x300.png"
"130";"Toro Albalá";"Marqués de Poley Amontillado Selección 1951 N.V.";"Port";"Spain
·
Montilla-Moriles";"4.6";"102 ratings";"https://images.vivino.com/thumbs/Go_vGIKoQRSAXASFmRjjKQ_pb_x300.png"
"131";"Krohn";"Colheita Porto 1961";"Port";"Portugal
·
Colheita Port";"4.6";"102 ratings";"https://images.vivino.com/thumbs/5Jex0HJzQi6aK_UZHXtQtA_pb_x300.png"
"132";"Quinta do Vesuvio";"Vintage Port 2011";"Port";"Portugal
·
Single Quinta Vintage Port (SQVP)";"4.6";"96 ratings";"https://images.vivino.com/thumbs/6nJ5LlAeS2y0dnjZRreZOA_pb_x300.png"
"133";"Fonseca";"Bin 27 Finest Reserve Port 1970";"Port";"Portugal
·
Reserve Port";"4.6";"94 ratings";"https://images.vivino.com/thumbs/Wy2OhnGCSvuAolZn9V6FRw_pb_x300.png"
