"id";"winerys";"winetype";"country";"region";"averages";"reviews";"images";"winename"
11;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;232;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1967"
12;"SZEPSY";"Dessert";"HUN";"tokaj";4.8;193;"https://images.vivino.com/thumbs/b4y6mQhmTfKchHtJB4ixiQ_pb_x300.png";"ASZÚ TOKAJI 6 PUTTONYOS 2008"
13;"CHÂTEAU MOSSÉ";"Dessert";"FR";"rivesaltes";4.8;156;"https://images.vivino.com/thumbs/T-hk_iopTGW9TYPDPJL1gw_pb_x300.png";"RIVESALTES 1931"
14;"PENDITS";"Dessert";"HUN";"tokaj";4.8;135;"https://images.vivino.com/highlights/icon/top_ranked.svg";"TOKAJI ASZÚ 6 PUTTONYOS 2004"
15;"PATRICIUS";"Dessert";"HUN";"tokaj";4.8;85;"https://images.vivino.com/thumbs/xDbJlf47QY6ValAxJeJYCA_pb_x300.png";"ASZÚ 6 PUTTONYOS 2000"
16;"CHÂTEAU DERESZLA";"Dessert";"HUN";"tokaj";4.8;51;"https://images.vivino.com/highlights/icon/most_user_rated.svg";"IMPERIUM ASZÚ ESZENCIA 2000"
17;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;50;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1959"
18;"DAL FORNO ROMANO";"Dessert";"I";"recioto della valpolicella";4.8;49;"https://images.vivino.com/thumbs/ebLA3QizQn6mFNe39opVWA_pb_x300.png";"RECIOTO DELLA VALPOLICELLA (MONTE LODOLETTA) 1997"
19;"DISZNÓKÓ";"Dessert";"HUN";"tokaj";4.8;47;"https://images.vivino.com/thumbs/6Mz5mgAsTKCKN-7Jd80fFQ_pb_x300.png";"TOKAJI ASZÚ ESZENCIA 1993"
20;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.8;42;"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png";"ESSENCIA 2008"
21;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.8;39;"https://images.vivino.com/thumbs/iUMYqlsLTYGkw0yDWsB4xw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO OCCHIO DI PERNICE 1998"
22;"QUINTARELLI GIUSEPPE";"Dessert";"I";"recioto della valpolicella";4.8;34;"https://images.vivino.com/thumbs/SgyYR1eETVKrj4CzFYTVgw_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO 2007"
23;"QUINTARELLI GIUSEPPE";"Dessert";"I";"recioto della valpolicella";4.8;34;"https://images.vivino.com/thumbs/SgyYR1eETVKrj4CzFYTVgw_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO 1995"
24;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;32;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1965"
25;"OREMUS";"Dessert";"HUN";"tokaj";4.8;32;"https://images.vivino.com/thumbs/A_ZXkuF6TSO7uwtUKswu5g_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 1972"
26;"CHÂTEAU GILETTE";"Dessert";"FR";"sauternes";4.8;32;"https://images.vivino.com/thumbs/xIJCj0FjTwq2Hm682izw0Q_pb_x300.png";"SAUTERNES (CRÈME DE TÊTE) 1979"
27;"OREMUS";"Dessert";"HUN";"tokaj";4.8;32;"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png";"ESZENCIA 2002"
28;"ARGYROS";"Dessert";"greece";"santorini";4.8;32;"https://images.vivino.com/thumbs/gIYmH1jJRh6IStnn9b06mA_pb_x300.png";"VINSANTO 20 YEARS BARREL AGED 1995"
29;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.8;30;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1937"
30;"CHÂTEAU DERESZLA";"Dessert";"HUN";"tokaj";4.8;25;"https://images.vivino.com/thumbs/sEK_POPAS4yUQbBdt3jT1w_pb_x300.png";"ESZENCIA (NATUR) 2000"
31;"OREMUS";"Dessert";"HUN";"tokaj";4.8;25;"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png";"ESZENCIA 1983"
32;"DAL FORNO ROMANO";"Dessert";"I";"recioto della valpolicella";4.8;25;"https://images.vivino.com/thumbs/ebLA3QizQn6mFNe39opVWA_pb_x300.png";"RECIOTO DELLA VALPOLICELLA (MONTE LODOLETTA) 2001"
33;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;26054;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES N.V."
34;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;2236;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1996"
35;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;2111;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1998"
36;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;1679;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1999"
37;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;1553;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1995"
38;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;1281;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1997"
39;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;959;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2003"
40;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;958;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2005"
41;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;745;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2002"
42;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;691;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2008"
43;"SZEPSY";"Dessert";"HUN";"tokaj";4.7;661;"https://images.vivino.com/thumbs/b4y6mQhmTfKchHtJB4ixiQ_pb_x300.png";"ASZÚ TOKAJI 6 PUTTONYOS N.V."
44;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;652;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1986"
45;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;642;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2004"
46;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;620;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1988"
47;"CHÂTEAU MOSSÉ";"Dessert";"FR";"rivesaltes";4.7;606;"https://images.vivino.com/thumbs/T-hk_iopTGW9TYPDPJL1gw_pb_x300.png";"RIVESALTES N.V."
48;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;490;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1983"
49;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;479;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2011"
50;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;446;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2006"
51;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;410;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2007"
52;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;367;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2013"
53;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;337;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2000"
54;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;322;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1975"
55;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;319;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2015"
56;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;296;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2009"
57;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;280;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1981"
58;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;249;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2010"
59;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.7;248;"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png";"ESSENCIA N.V."
60;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;223;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1982"
61;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;210;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2016"
62;"QUINTARELLI GIUSEPPE";"Dessert";"I";"recioto della valpolicella";4.7;190;"https://images.vivino.com/thumbs/SgyYR1eETVKrj4CzFYTVgw_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO 2004"
63;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;179;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 2014"
64;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;177;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1970"
65;"DAL FORNO ROMANO";"Dessert";"I";"recioto della valpolicella";4.6;178;"https://images.vivino.com/thumbs/ebLA3QizQn6mFNe39opVWA_pb_x300.png";"RECIOTO DELLA VALPOLICELLA (MONTE LODOLETTA) N.V."
66;"DAL FORNO ROMANO";"Dessert";"I";"veneto";4.7;162;"https://images.vivino.com/thumbs/We3EIm6xTZuEEtFyK5LXRQ_pb_x300.png";"VIGNA SERÉ VENETO PASSITO ROSSO 2004"
67;"TRAMIN";"Dessert";"I";"südtirol - alto adige";4.7;160;"https://images.vivino.com/thumbs/QgSS2h1EQ5GAVhe1bdpJVw_pb_x300.png";"EPOKALE N.V."
68;"OREMUS";"Dessert";"HUN";"tokaj";4.7;144;"https://images.vivino.com/thumbs/A_ZXkuF6TSO7uwtUKswu5g_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 2003"
69;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.7;136;"https://images.vivino.com/thumbs/iUMYqlsLTYGkw0yDWsB4xw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO OCCHIO DI PERNICE 2000"
70;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;119;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1979"
71;"QUINTARELLI GIUSEPPE";"Dessert";"I";"recioto della valpolicella";4.7;111;"https://images.vivino.com/thumbs/SgyYR1eETVKrj4CzFYTVgw_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO 1997"
72;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.7;105;"https://images.vivino.com/thumbs/iUMYqlsLTYGkw0yDWsB4xw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO OCCHIO DI PERNICE 2002"
73;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.7;98;"https://images.vivino.com/thumbs/DfRwdHySQESlt1FIKcULbw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO 1999"
74;"DAL FORNO ROMANO";"Dessert";"I";"veneto";4.7;95;"https://images.vivino.com/thumbs/We3EIm6xTZuEEtFyK5LXRQ_pb_x300.png";"VIGNA SERÉ VENETO PASSITO ROSSO 2003"
75;"QUINTARELLI GIUSEPPE";"Dessert";"I";"recioto della valpolicella";4.7;89;"https://images.vivino.com/thumbs/SgyYR1eETVKrj4CzFYTVgw_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO 2001"
76;"CHÂTEAU MOSSÉ";"Dessert";"FR";"rivesaltes";4.7;79;"https://images.vivino.com/thumbs/T-hk_iopTGW9TYPDPJL1gw_pb_x300.png";"RIVESALTES 1946"
77;"SZEPSY";"Dessert";"HUN";"tokaj";4.7;75;"https://images.vivino.com/thumbs/b4y6mQhmTfKchHtJB4ixiQ_pb_x300.png";"ASZÚ TOKAJI 6 PUTTONYOS 2006"
78;"CAPEZZANA";"Dessert";"I";"carmignano";4.7;74;"https://images.vivino.com/thumbs/hs2rA8mBR9Ge4m19aVm8bw_pb_x300.png";"VIN SANTO DI CARMIGNANO RISERVA 2009"
79;"TRAMIN";"Dessert";"I";"südtirol - alto adige";4.7;71;"https://images.vivino.com/thumbs/QgSS2h1EQ5GAVhe1bdpJVw_pb_x300.png";"EPOKALE 2009"
80;"CHÂTEAU DERESZLA";"Dessert";"HUN";"tokaj";4.7;61;"https://images.vivino.com/thumbs/iVIBmWvGRni4465vHIlxMw_pb_x300.png";"ASZÚ ESZENCIA 2000"
81;"CHÂTEAU MOUTON ROTHSCHILD";"Dessert";"FR";"bordeaux";4.7;61;"https://images.vivino.com/thumbs/hXusNeaRRL2dbzT0lXbwrw_pb_x300.png";"EAU-DE-VIE DE PRUNES 2001"
82;"ARGYROS";"Dessert";"greece";"santorini";4.7;59;"https://images.vivino.com/thumbs/gIYmH1jJRh6IStnn9b06mA_pb_x300.png";"VINSANTO 20 YEARS BARREL AGED 1992"
83;"TOKAJ CLASSIC";"Dessert";"HUN";"tokaj";4.7;58;"https://images.vivino.com/thumbs/BeCBTxu1T2OAFATSYqcdTw_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 2002"
84;"JEAN DARPARENS";"Dessert";"FR";"sauternes";4.7;55;"https://thumbs.vivino.com/avatars/1AUpGoYITzarG2c_47nuLg_50x50.jpg";"CONTIGÜ-YQUEM SAUTERNES N.V."
85;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.7;53;"https://images.vivino.com/thumbs/iUMYqlsLTYGkw0yDWsB4xw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO OCCHIO DI PERNICE 2001"
86;"GINO PEDROTTI";"Dessert";"I";"trentino";4.7;53;"https://images.vivino.com/highlights/icon/most_user_rated.svg";"VINO SANTO TRENTINO 2002"
87;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;49;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1955"
88;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.7;49;"https://images.vivino.com/thumbs/DfRwdHySQESlt1FIKcULbw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO 2001"
89;"CHÂTEAU DERESZLA";"Dessert";"HUN";"tokaj";4.7;48;"https://images.vivino.com/thumbs/120u_uuVTvG1WDqalE2MFA_pb_x300.png";"ASZÚ 6 PUTTONYOS 2000"
90;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.7;46;"https://images.vivino.com/thumbs/4wF9-LK0T4aVmtHpw6H1bQ_pb_x300.png";"MÉZES MÁLY 6 PUTTONYOS ASZÚ 1996"
91;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;46;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1971"
92;"CHÂTEAU MOSSÉ";"Dessert";"FR";"rivesaltes";4.7;46;"https://images.vivino.com/thumbs/T-hk_iopTGW9TYPDPJL1gw_pb_x300.png";"RIVESALTES 1932"
93;"CHÂTEAU MOSSÉ";"Dessert";"FR";"rivesaltes";4.7;45;"https://images.vivino.com/thumbs/T-hk_iopTGW9TYPDPJL1gw_pb_x300.png";"RIVESALTES 1949"
94;"PELLER ESTATES";"Dessert";"canada";"niagara peninsula";4.7;43;"https://images.vivino.com/thumbs/XeCFsk30Tw2KMSmqLuCAfw_pb_x300.png";"OAK AGED VIDAL BLANC ICEWINE 2005"
95;"PAOLO BEA";"Dessert";"I";"montefalco sagrantino";4.7;41;"https://images.vivino.com/thumbs/is1KkJTxRQKpwmG0_QVRTw_pb_x300.png";"MONTEFALCO SAGRANTINO PASSITO 2008"
96;"MONTEMERCURIO";"Dessert";"I";"vin santo di montepulciano";4.7;41;"https://images.vivino.com/thumbs/Su0WRJ91QeKccnPeYcIGOQ_pb_x300.png";"VIN SANTO DI MONTEPULCIANO N.V."
97;"SZEPSY";"Dessert";"HUN";"tokaj";4.7;39;"https://images.vivino.com/thumbs/b4y6mQhmTfKchHtJB4ixiQ_pb_x300.png";"ASZÚ TOKAJI 6 PUTTONYOS 2009"
98;"TRAMIN";"Dessert";"I";"südtirol - alto adige";4.7;38;"https://images.vivino.com/thumbs/QgSS2h1EQ5GAVhe1bdpJVw_pb_x300.png";"EPOKALE 2010"
99;"PATRICIUS";"Dessert";"HUN";"tokaj";4.7;38;"https://images.vivino.com/thumbs/xDbJlf47QY6ValAxJeJYCA_pb_x300.png";"ASZÚ 6 PUTTONYOS 2008"
100;"OREMUS";"Dessert";"HUN";"tokaj";4.7;38;"https://images.vivino.com/thumbs/_VYRnv4XTfCVEXlvhYw4AA_pb_x300.png";"ESZENCIA 2003"
101;"LIS NERIS";"Dessert";"I";"venezia giulia";4.7;37;"https://images.vivino.com/thumbs/Rz1v85mWSq6bNGUEAdCpfQ_pb_x300.png";"VENEZIA GIULIA TAL LÙC BIANCO PASSITO 2009"
102;"DONNAFUGATA";"Dessert";"I";"passito di pantelleria";4.7;36;"https://images.vivino.com/thumbs/t-B11h9fSM6omIela450TQ_pb_x300.png";"BEN RYÈ PASSITO DI PANTELLERIA EDIZIONE LIMITATA 2013"
103;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.7;35;"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png";"ESSENCIA 2003"
104;"FRATELLI VOGADORI";"Dessert";"I";"veneto";4.7;34;"https://images.vivino.com/thumbs/xdE81Uh0RyugaVFbQko-bQ_pb_x300.png";"PASSITO DEL VENETO 2013"
105;"BERTANI";"Dessert";"I";"recioto della valpolicella";4.7;34;"https://images.vivino.com/thumbs/R1CkuadKRMyWT42aA-h9Gg_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO SUPERIORE 1968"
106;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.7;34;"https://images.vivino.com/thumbs/1v-6QFBrRdqpfhCqaUUbLQ_pb_x300.png";"ESSENCIA 1996"
107;"CHÂTEAU DERESZLA";"Dessert";"HUN";"tokaj";4.7;34;"https://images.vivino.com/thumbs/sEK_POPAS4yUQbBdt3jT1w_pb_x300.png";"ESZENCIA (NATUR) N.V."
108;"CHÂTEAU SIGALAS RABAUD";"Dessert";"FR";"sauternes";4.7;34;"https://images.vivino.com/thumbs/ehn9bspZSoq4ev8eNbLsoQ_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1988"
109;"CHÂTEAU DE FARGUES";"Dessert";"FR";"sauternes";4.7;34;"https://images.vivino.com/thumbs/6UkCAp0zR-StH2rQSPvU-g_pb_x300.png";"SAUTERNES (LUR SALUCES) 1985"
110;"AVIGNONESI";"Dessert";"I";"vin santo di montepulciano";4.7;34;"https://images.vivino.com/thumbs/iUMYqlsLTYGkw0yDWsB4xw_pb_x300.png";"VIN SANTO DI MONTEPULCIANO OCCHIO DI PERNICE 1997"
111;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;34;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1962"
112;"DONNAFUGATA";"Dessert";"I";"passito di pantelleria";4.7;34;"https://images.vivino.com/thumbs/tWuXrj0nRZCum1ezynysLA_pb_x300.png";"BEN RYÉ PASSITO DI PANTELLERIA 2017"
113;"DOMAINE OSTERTAG";"Dessert";"FR";"alsace";4.7;33;"https://images.vivino.com/thumbs/OBVYyBWmQgKj5DzaHFj46g_pb_x300.png";"FRONHOLZ VENDANGES TARDIVES DE GEWURZTRAMINER 2007"
114;"CHÂTEAU MOUTON ROTHSCHILD";"Dessert";"FR";"bordeaux";4.7;33;"https://images.vivino.com/thumbs/hXusNeaRRL2dbzT0lXbwrw_pb_x300.png";"EAU-DE-VIE DE PRUNES 1987"
115;"FATTORIA DEL TESO";"Dessert";"I";"montecarlo";4.7;31;"https://images.vivino.com/thumbs/uhrRGsSGQqG3kfMOtAZS-Q_pb_x300.png";"MONTECARLO VINSANTO 2001"
116;"INNISKILLIN";"Dessert";"canada";"niagara peninsula";4.7;30;"https://images.vivino.com/thumbs/F_0jb2leSvqFcCYo7rt62w_pb_x300.png";"GOLD OAK AGED VIDAL ICEWINE 2005"
117;"SINE QUA NON";"Dessert";"united states";"california";4.7;30;"https://images.vivino.com/thumbs/SDaFtDxvStCoJChKy8Xg3g_pb_x300.png";"MR. K THE STRAW MAN 2006"
118;"BACALHÔA";"Dessert";"PT";"setúbal";4.7;29;"https://images.vivino.com/thumbs/0ssL66zES4S4dSg-08ermQ_pb_x300.png";"SETÚBAL MOSCATEL ROXO SUPERIOR 1985"
119;"KRACHER";"Dessert";"austria";"burgenland";4.7;29;"https://images.vivino.com/thumbs/vSY4E5LeQfaQsinzlrvb-w_pb_x300.png";"GRANDE CUVÉE NUMMER 6 NOUVELLE VAGUE TROCKENBEERENAUSLESE 2001"
120;"CHÂTEAU SIGALAS RABAUD";"Dessert";"FR";"sauternes";4.7;29;"https://images.vivino.com/thumbs/ehn9bspZSoq4ev8eNbLsoQ_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1990"
121;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;29;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1921"
122;"ISOLE E OLENA";"Dessert";"I";"vin santo del chianti classico";4.7;27;"https://images.vivino.com/thumbs/maz5vkYqTrqziovpEKXPAg_pb_x300.png";"VIN SANTO DEL CHIANTI CLASSICO 1998"
123;"DOLCE";"Dessert";"united states";"napa valley";4.7;27;"https://images.vivino.com/thumbs/Sjyvsv8cQJqxqIjXbKWI8g_pb_x300.png";"DOLCE (LATE HARVEST) 2013"
124;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.7;26;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1961"
125;"CHÂTEAU GILETTE";"Dessert";"FR";"sauternes";4.7;26;"https://images.vivino.com/thumbs/xIJCj0FjTwq2Hm682izw0Q_pb_x300.png";"SAUTERNES (CRÈME DE TÊTE) 1971"
126;"JOSÉ MARIA DA FONSECA";"Dessert";"PT";"península de setúbal";4.7;26;"https://thumbs.vivino.com/avatars/009g9toweyl4hd17bad8ade_50x50.jpg";"AGUARDENTE VELHA RESERVA 1964 N.V."
127;"DOMAINE DE LA ROMANÉE-CONTI";"Dessert";"FR";"côte de nuits";4.7;27;"https://images.vivino.com/thumbs/c72rd3npSt2AXdIboFF7cg_pb_x300.png";"MARC DE BOURGOGNE 1991"
128;"ORNELLAIA";"Dessert";"I";"toscana";4.7;26;"https://images.vivino.com/thumbs/YJiN_11fQRS1kzfHxY_BVA_pb_x300.png";"ORNUS 2009"
129;"TOKAJBOR-BENE";"Dessert";"HUN";"tokaj";4.7;25;"https://images.vivino.com/thumbs/3xiwlebzRWquSnrZvjOc4Q_pb_x300.png";"TOKAJI ASZÚ SZEPSY DÜLÖ 6 PUTTONYOS 1993"
130;"BERTANI";"Dessert";"I";"recioto della valpolicella";4.7;25;"https://images.vivino.com/thumbs/R1CkuadKRMyWT42aA-h9Gg_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO SUPERIORE 1973"
